Etiqueta,uv_mean,uv_std,lecturas
vestuario,0.008,0.004140393356054126,15
pasillo,0.017777777777777778,0.010983392947305522,36
toldo,0.13599999999999998,0.27415324181924244,10
sombra concreto,0.21200000000000002,0.3628835136024292,10
—,0.27266666666666667,0.5667131633585103,15
apunta al sol,1.29,0.0,1
playa,2.2804545454545457,1.7490908584658578,22
playa mirando al sol,4.42,2.4562844569254056,19
